State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,SPSR Nellore,2024-07-14,2024,07,3.5232882435,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-07-20,2024,07,12.3832093471,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-07-24,2024,07,1.4069584718,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-07-26,2024,07,1.2448453972,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-07-30,2024,07,8.4956074802,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-01,2024,08,0.7387590097,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-05,2024,08,1.7656351627,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-13,2024,08,1.3325269184,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-20,2024,08,2.1220255999,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-23,2024,08,3.0409977211,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-25,2024,08,0.6481775239,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-26,2024,08,1.0121404705,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-08-29,2024,08,8.9959651675,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-09-01,2024,09,0.0353133638,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-09-02,2024,09,1.1085659485,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-09-05,2024,09,4.0890850337,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-09-21,2024,09,7.0385297271,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-10-06,2024,10,0.278279201,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-10-10,2024,10,7.502667264,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-10-16,2024,10,21.1721544097,NRSC VIC MODEL
Andhra Pradesh,SPSR Nellore,2024-10-21,2024,10,1.8666885655,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-01-08,2024,01,0.0018905321,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-01-12,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-01-24,2024,01,0.022109975,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-02-01,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-02-10,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-02-17,2024,02,0.0003211609,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-02-25,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-02-28,2024,02,5.47264e-05,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-03-02,2024,03,0.0001946602,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-03-16,2024,03,0.1400168325,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-03-17,2024,03,0.0759227765,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-03-28,2024,03,3.91733e-05,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-03-29,2024,03,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-03-30,2024,03,0.0004302473,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-04-13,2024,04,0.2216080189,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-04-26,2024,04,0.7787712186,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-04-29,2024,04,1.3440448847,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-05-04,2024,05,1.017311381,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-05-06,2024,05,0.0562675612,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-05-15,2024,05,4.8707271361,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-05-21,2024,05,1.3422649955,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-05-25,2024,05,4.9150096154,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-06-02,2024,06,1.3222210648,NRSC VIC MODEL
